model,loss,r20,dataset,lr_patience,lr,early_stop_patience,lr_scheduler,best_epoch,weight_decay,dropout_dec,dl_frame,n100,dropout_enc,anneal_cap,batch_size,r50,p_dims
vae,97.46,0.134,amazon,5,0.001,20,False,192,0.0,"[0., 0.]",Pytorch,0.098,"[0.5, 0.]",0.8,512,0.198,"[200,600]"
vae,382.787,0.389,movielens,5,0.001,20,False,131,0.0,"[0., 0.]",Pytorch,0.416,"[0.5, 0.]",0.6,512,0.526,"[100,300]"
vae,96.091,0.106,amazon,5,0.001,20,False,4,0.001,"[0., 0.]",Pytorch,0.082,"[0.2, 0.]",0.5,512,0.162,"[300,900]"
vae,99.963,0.122,amazon,5,0.001,20,False,115,0.0,"[0.2,0.2,0.2]",Pytorch,0.091,"[0.5,0.2,0.2]",0.4,512,0.188,"[256,512,1024]"
vae,82.981,0.127,amazon,5,0.001,20,False,60,0.001,"[0., 0.]",Pytorch,0.095,"[0.5, 0.]",0.4,512,0.194,"[300,900]"
vae,82.226,0.114,amazon,5,0.001,20,False,9,0.0,"[0., 0.]",Pytorch,0.086,"[0.5, 0.]",0.0,512,0.179,"[200,600]"
vae,92.263,0.137,amazon,5,0.001,20,False,170,0.0,"[0., 0.]",Pytorch,0.101,"[0.5, 0.]",0.7,512,0.204,"[300,900]"
vae,365.372,0.398,movielens,20,0.005,30,True,155,0.0,"[0., 0.]",Pytorch,0.427,"[0.5, 0.]",0.2,512,0.538,"[200, 600]"
vae,370.801,0.393,movielens,5,0.001,20,False,114,0.0,"[0., 0.]",Pytorch,0.421,"[0.5, 0.]",0.3,512,0.536,"[200,600]"
vae,383.61,0.368,movielens,5,0.001,20,False,46,0.0,"[0.2,0.2,0.2]",Pytorch,0.391,"[0.5,0.2,0.2]",0.2,512,0.512,"[256,512,1024]"
vae,118.298,0.081,amazon,20,0.005,30,True,1,0.0,"[0., 0.]",Pytorch,0.061,"[0.5, 0.]",0.4,512,0.124,"[300,900]"
vae,85.293,0.132,amazon,5,0.001,20,False,169,0.0,"[0., 0.]",Pytorch,0.098,"[0.5, 0.]",0.2,512,0.195,"[200,600]"
vae,365.767,0.372,movielens,20,0.005,30,True,199,0.001,"[0., 0.]",Pytorch,0.401,"[0.2, 0.]",0.2,512,0.512,"[200, 600]"
vae,351.174,0.385,movielens,5,0.001,20,False,73,0.0,"[0., 0.]",Pytorch,0.416,"[0.5, 0.]",0.0,512,0.528,"[200,600]"
vae,375.147,0.391,movielens,5,0.001,20,False,124,0.0,"[0., 0.]",Pytorch,0.419,"[0.5, 0.]",0.4,512,0.534,"[300,900]"
vae,367.185,0.394,movielens,5,0.001,20,False,158,0.001,"[0., 0.]",Pytorch,0.424,"[0.5, 0.]",0.2,512,0.537,"[200, 600]"
vae,89.067,0.12,amazon,5,0.001,20,False,23,0.0,"[0., 0.]",Pytorch,0.09,"[0.5, 0.]",0.2,512,0.182,"[100,300]"
vae,87.623,0.113,amazon,5,0.001,20,False,29,0.0,"[0.,0.,0.]",Pytorch,0.086,"[0.5,0.,0.]",0.4,512,0.173,"[256,512,1024]"
vae,367.009,0.396,movielens,5,0.001,20,False,188,0.0,"[0., 0.]",Pytorch,0.424,"[0.5, 0.]",0.2,512,0.539,"[200,600]"
vae,372.783,0.379,movielens,5,0.001,20,False,88,0.0,"[0.,0.,0.]",Pytorch,0.403,"[0.5,0.,0.]",0.2,512,0.525,"[256,512,1024]"
dae,356.992,0.389,movielens,5,0.001,20,False,100,0.0,"[0., 0.]",Pytorch,0.418,"[0.5, 0.]",NA,512,0.531,"[100,300]"
dae,80.777,0.12,amazon,5,0.001,20,False,12,0.0,"[0., 0.]",Pytorch,0.089,"[0.5, 0.]",NA,512,0.181,"[200,600]"
