iter	Logloss
0	0.6487873021
1	0.617151407
2	0.5959816623
3	0.5817889567
4	0.5719667053
5	0.5652503849
6	0.5605238311
7	0.5568346795
8	0.5537076217
9	0.5515489235
10	0.5489091296
11	0.5467094773
12	0.54502799
13	0.5435378812
14	0.5423227629
15	0.541395315
16	0.5408093552
17	0.5399565527
18	0.5395578157
19	0.5391799485
20	0.5384477973
21	0.5381513337
22	0.5378598436
23	0.5374474853
24	0.5372692012
25	0.5367267147
26	0.5363173079
27	0.535908268
28	0.5357231228
29	0.5354224741
30	0.5351722951
31	0.5350000177
32	0.5346055515
33	0.5342405449
34	0.534061907
35	0.5337972804
36	0.5335823689
37	0.5334941083
38	0.5333366962
39	0.5331743169
40	0.533020052
41	0.5328681436
42	0.5327112885
43	0.5324133073
44	0.5321595568
45	0.5319557585
46	0.5318110853
47	0.5317140452
48	0.5315048754
49	0.5313937189
50	0.5312892912
51	0.5310519143
52	0.5309123616
53	0.5307560902
54	0.5305961488
55	0.5304282602
56	0.5302822089
57	0.5301026684
58	0.5300104859
59	0.5299078367
60	0.529829179
61	0.5297159296
62	0.5295427405
63	0.5293922361
64	0.5293028462
65	0.5291651632
66	0.5290440702
67	0.528898871
68	0.5287931621
69	0.5286880826
70	0.5285745179
71	0.5284374915
72	0.5283167886
73	0.5282342429
74	0.5281362849
75	0.5280313272
76	0.5279196008
77	0.5277429883
78	0.5275716965
79	0.5274990748
80	0.5274035718
81	0.5272734905
82	0.5271761833
83	0.5270732719
84	0.5269668138
85	0.5268893948
86	0.5268157282
87	0.5267418204
88	0.526597583
89	0.5264937781
90	0.5263960554
91	0.526301897
92	0.5262139264
93	0.5261459048
94	0.5260390745
95	0.525958416
96	0.5258931052
97	0.5258156999
98	0.5256912477
99	0.5256289589
100	0.5255070061
101	0.5254184572
102	0.5253616155
103	0.5252737421
104	0.5251752263
105	0.5250940246
106	0.5250409954
107	0.5249772867
108	0.52487548
109	0.5247838137
110	0.52470893
111	0.5246666929
112	0.5246173541
113	0.5245298765
114	0.5244415355
115	0.524388993
