iter	Passed	Remaining
0	429	214386
1	779	194107
2	1121	185767
3	1463	181507
4	1739	172244
5	2021	166417
6	2345	165155
7	2599	159845
8	2935	160167
9	3269	160208
10	3574	158910
11	3940	160248
12	4402	164915
13	4927	171064
14	5414	175053
15	5838	176613
16	6177	175504
17	6474	173362
18	6791	171928
19	7123	170970
20	7549	172199
21	7901	171680
22	8296	172054
23	8638	171324
24	8969	170421
25	9338	170245
26	9678	169560
27	10164	171348
28	10486	170309
29	10980	172028
30	11362	171896
31	11703	171158
32	12264	173568
33	12712	174242
34	13058	173497
35	13537	174483
36	13964	174743
37	14369	174703
38	14715	173948
39	15032	172870
40	15546	174045
41	15992	174392
42	16384	174136
43	16751	173606
44	17330	175233
45	17875	176427
46	18213	175548
47	18577	174937
48	19059	175426
49	19452	175072
50	19816	174458
51	20305	174936
52	20790	175348
53	21220	175265
54	21824	176576
55	22297	176790
56	22717	176555
57	23327	177769
58	23574	176207
59	23967	175760
60	24368	175372
61	24877	175745
62	25325	175672
63	25718	175209
64	26187	175254
65	26604	174942
66	27012	174574
67	27404	174102
68	27856	174003
69	28259	173592
70	28705	173444
71	29297	174158
72	29852	174615
73	30222	173985
74	30604	173423
75	31162	173853
76	31575	173462
77	32021	173246
78	32390	172612
79	32851	172471
80	33437	172966
81	33861	172612
82	34335	172505
83	34868	172682
84	35354	172613
85	35799	172337
86	36206	171875
87	36659	171634
88	37256	172050
89	37620	171383
90	38107	171276
91	38501	170747
92	38825	169914
93	39201	169315
94	39584	168755
95	40076	168656
96	40648	168880
97	41032	168317
98	41351	167496
99	41831	167325
100	42208	166743
101	42819	167080
102	43252	166712
103	43673	166293
104	44060	165752
105	44779	166445
106	45067	165529
107	45598	165504
108	45955	164848
109	46513	164912
110	46977	164631
111	47401	164211
112	47905	164066
113	48299	163539
114	48716	163095
115	49083	162484
